r_object_id;object_name;title;subject;resolution_label;owner_name;owner_permit;group_name;group_permit;world_permit;log_entry;acl_domain;acl_name;language_code;ae_atr_label_atributo;ae_atr_nombre_atributo;ae_atr_locale;ae_atr_atributo_depende;ae_atr_atributo_dependiente;ae_atr_valor_depende;ae_atr_atributo_depende_aux;ae_atr_valor_depende_aux;ae_atr_valor_depende_aux2;ae_atr_atributo_dep_aux2;ae_atr_abrev;ae_atr_atributo_dep_aux3;ae_atr_label_depende;ae_atr_label_depende_aux;ae_atr_label_depende_aux2;ae_atr_label_depende_aux3;ae_atr_valor_depende_aux3;ae_atr_id;ae_atr_id_depende;ae_atr_id_depende_aux;ae_atr_id_depende_aux2;ae_atr_id_depende_aux3;ae_atr_activo;r_object_type;r_creation_date;r_modify_date;a_content_type
090027128059961b;Huecha;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;La Morana;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
090027128059961c;Irati;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Betolegui;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
090027128059961d;Irati;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Irabia;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
090027128059961e;Irati;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Irati;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
090027128059961f;Irati;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Olaldea;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
0900271280599620;Irati;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Olaldea 2;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
0900271280599621;Jalón;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Embid;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
0900271280599622;Jalón;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Purroy;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
0900271280599623;Llobregat;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Monistrol;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
0900271280599624;Manyanet;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Serrado;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
0900271280599625;Martin;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Rivera;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
0900271280599626;Morca;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;La Morca;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
